                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      2.0000000000000000E+000      1.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                                star_age                                star_mass                                    log_R                                   log_LH                                  log_LHe                                 log_Teff                               luminosity                                    log_L                                    log_g                             he_core_mass                              c_core_mass                              o_core_mass                          v_wind_Km_per_s                           shock_velocity                          log_surf_cell_P                   log_surf_cell_pressure                    log_surf_cell_density                log_surf_cell_temperature                          surf_avg_logRho                              surface_c12                              surface_c13                              surface_o16                               center_c12                               center_c13                                       pp                                      cno                                 tri_alfa 
                 1.1162775791034075E+002                  1.9285686600709488E+000                  2.3110691608071892E+000                  3.7029696868346051E+000                  1.5921792476554328E+000                  3.5351363680358938E+000                  5.2019493689533128E+003                  3.7161661208527028E+000                  1.0098613684116936E-001                  5.6334850848545004E-001                  5.2440455238310391E-001                  5.5847318379824318E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8855777741302537E+000                  2.8855777741302537E+000                 -8.4586867229910201E+000                  3.5351363680778944E+000                  0.0000000000000000E+000                  1.1352892768997881E-003                  0.0000000000000000E+000                  4.5040434105155704E-003                  1.7015194215097684E-001                  0.0000000000000000E+000                 -7.3543441046436550E-002                  3.7028970248067634E+000                  1.5921792476554328E+000 
                 2.1971341908443495E+002                  1.9285686600709488E+000                  2.3114862585507621E+000                  3.7028563144204965E+000                  1.5962793082703548E+000                  3.5350977907052359E+000                  5.2100993763047218E+003                  3.7168460070172156E+000                  1.0015194135402343E-001                  5.6335647610354878E-001                  5.2430905023604180E-001                  5.5847132004251987E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8852647431378720E+000                  2.8852647431378720E+000                 -8.4589604993024707E+000                  3.5350977907471131E+000                  0.0000000000000000E+000                  1.1352892768997879E-003                  0.0000000000000000E+000                  4.5040434105155687E-003                  1.7015194215097681E-001                  0.0000000000000000E+000                 -7.3675315319283965E-002                  3.7027836554884028E+000                  1.5962793082703548E+000 
                 3.1448685881259166E+002                  1.9285686600709488E+000                  2.3116962970448101E+000                  3.7028042609622442E+000                  1.5998773921925880E+000                  3.5350689695276203E+000                  5.2137571603401129E+003                  3.7171507992948492E+000                  9.9731864365927125E-002                  5.6336264082998255E-001                  5.2430905023606189E-001                  5.5847132004253697E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8851579611492926E+000                  2.8851579611492926E+000                 -8.4590375874024986E+000                  3.5350689695694339E+000                  0.0000000000000000E+000                  1.1352892768997879E-003                  0.0000000000000000E+000                  4.5040434105155687E-003                  1.7015194215097681E-001                  0.0000000000000000E+000                 -7.1635270928417052E-002                  3.7027312511412211E+000                  1.5998773921925880E+000 
                 3.9229543176481576E+002                  1.9285686600709488E+000                  2.3117299241737976E+000                  3.7026615944018997E+000                  1.6028438645865917E+000                  3.5350644205749031E+000                  5.2143461461265251E+003                  3.7171998577419538E+000                  9.9664610107952037E-002                  5.6336906828192856E-001                  5.2430905023606289E-001                  5.5847132004253808E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8851405115512905E+000                  2.8851405115512905E+000                 -8.4590503519487577E+000                  3.5350644206166986E+000                  0.0000000000000000E+000                  1.1352892768997877E-003                  0.0000000000000000E+000                  4.5040434105155687E-003                  1.7015194215097681E-001                  0.0000000000000000E+000                 -6.9164486167242162E-002                  3.7025881438682489E+000                  1.6028438645865917E+000 
                 4.6284023377702493E+002                  1.9285686600709488E+000                  2.3117067372301081E+000                  3.7025411589578137E+000                  1.6055470686226407E+000                  3.5350677144491032E+000                  5.2139475656909526E+003                  3.7171666593513768E+000                  9.9710983995331598E-002                  5.6337392768889638E-001                  5.2430905023606311E-001                  5.5847132004253830E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8851516926222578E+000                  2.8851516926222578E+000                 -8.4590425674934657E+000                  3.5350677144909031E+000                  0.0000000000000000E+000                  1.1352892768997877E-003                  0.0000000000000000E+000                  4.5040434105155678E-003                  1.7015194215097681E-001                  0.0000000000000000E+000                 -6.6743774969395708E-002                  3.7024672773534619E+000                  1.6055470686226407E+000 
                 5.3030634099475674E+002                  1.9285686600709488E+000                  2.3116644079737001E+000                  3.7024698387677413E+000                  1.6081383335422577E+000                  3.5350736501725288E+000                  5.2132162909829194E+003                  3.7171057437322612E+000                  9.9795642508147278E-002                  5.6337876863305814E-001                  5.2441391265296766E-001                  5.5847132004253897E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8851725234635590E+000                  2.8851725234635590E+000                 -8.4590278555278839E+000                  3.5350736502143500E+000                  0.0000000000000000E+000                  1.1352892768997881E-003                  0.0000000000000000E+000                  4.5040434105155687E-003                  1.7015194215097681E-001                  0.0000000000000000E+000                 -6.4999859051675657E-002                  3.7023956476851207E+000                  1.6081383335422577E+000 
                 5.9648260767116540E+002                  1.9285686600709488E+000                  2.3116185246712431E+000                  3.7024101114235464E+000                  1.6106865142682916E+000                  3.5350800761189394E+000                  5.2124233415279004E+003                  3.7170396809129915E+000                  9.9887409113061348E-002                  5.6338429270053092E-001                  5.2441391265296777E-001                  5.5847132004253908E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8851951472357165E+000                  2.8851951472357165E+000                 -8.4590118557323386E+000                  3.5350800761607646E+000                  0.0000000000000000E+000                  1.1352892768997877E-003                  0.0000000000000000E+000                  4.5040434105155678E-003                  1.7015194215097679E-001                  0.0000000000000000E+000                 -6.3705570097418895E-002                  3.7023356886517815E+000                  1.6106865142682916E+000 
                 6.6211557280331726E+002                  1.9285686600709488E+000                  2.3115741146417328E+000                  3.7023704946494100E+000                  1.6132184134424277E+000                  3.5350862967185179E+000                  5.2116560151219001E+003                  3.7169757432522839E+000                  9.9976229172082112E-002                  5.6338981676800348E-001                  5.2441391265296777E-001                  5.5847132004253908E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8852170390646061E+000                  2.8852170390646061E+000                 -8.4589963761919975E+000                  3.5350862967603729E+000                  0.0000000000000000E+000                  1.1352892768997881E-003                  0.0000000000000000E+000                  4.5040434105155687E-003                  1.7015194215097681E-001                  0.0000000000000000E+000                 -6.2972433551445328E-002                  3.7022959393256953E+000                  1.6132184134424277E+000 
                 7.2757112354649598E+002                  1.9285686600709488E+000                  2.3115359608145747E+000                  3.7023432425566392E+000                  1.6157488269997518E+000                  3.5350916527250491E+000                  5.2109974377510853E+003                  3.7169208596240937E+000                  1.0005253682639827E-001                  5.6339423602198246E-001                  5.2441391265296844E-001                  5.5847132004253963E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8852357833031843E+000                  2.8852357833031843E+000                 -8.4589831532777247E+000                  3.5350916527669063E+000                  0.0000000000000000E+000                  1.1352892768997879E-003                  0.0000000000000000E+000                  4.5040434105155678E-003                  1.7015194215097681E-001                  0.0000000000000000E+000                 -6.2689069067537323E-002                  3.7022686338857280E+000                  1.6157488269997518E+000 
