                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      9.0000000000000000E+001      1.0000000000000001E-005      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                                star_age                                star_mass                                    log_R                                   log_LH                                  log_LHe                                 log_Teff                               luminosity                                    log_L                                    log_g                             he_core_mass                              c_core_mass                              o_core_mass                          v_wind_Km_per_s                           shock_velocity                          log_surf_cell_P                   log_surf_cell_pressure                    log_surf_cell_density                log_surf_cell_temperature                          surf_avg_logRho                              surface_c12                              surface_c13                              surface_o16                               center_c12                               center_c13                                       pp                                      cno                                 tri_alfa 
                 1.0000000000000001E-005                  9.0000000000000000E+001                  2.1300667061096177E+000                 -4.6935786579268708E+000                 -7.7866907058769044E+001                  4.2297221743650733E+000                  1.3567643910023435E+006                  6.1325044367742780E+000                  2.1319984506332146E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4370853871600806E+000                  2.4370853871600806E+000                 -1.0500462468181629E+001                  4.2297256920923472E+000                  0.0000000000000000E+000                  1.7208036628451608E-006                  0.0000000000000000E+000                  4.6802246398658005E-006                  1.7208036628451608E-006                  0.0000000000000000E+000                 -4.6935786579386605E+000                 -1.5259848016990338E+001                 -7.7866907058769044E+001 
                 2.2000000000000003E-005                  9.0000000000000000E+001                  2.1300666834523980E+000                 -4.6935785863456214E+000                 -7.7866906463489286E+001                  4.2297221843347117E+000                  1.3567643740202780E+006                  6.1325044313383907E+000                  2.1319984959476534E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4370854300410700E+000                  2.4370854300410700E+000                 -1.0500462425559807E+001                  4.2297257020623542E+000                  0.0000000000000000E+000                  1.7208036628451604E-006                  0.0000000000000000E+000                  4.6802246398658005E-006                  1.7208036628451611E-006                  0.0000000000000000E+000                 -4.6935785863574111E+000                 -1.5259847789965196E+001                 -7.7866906463489286E+001 
                 3.6400000000000004E-005                  9.0000000000000000E+001                  2.1300666562810848E+000                 -4.6935785004479804E+000                 -7.7866905749145175E+001                  4.2297221963525109E+000                  1.3567643544279174E+006                  6.1325044250669603E+000                  2.1319985502902803E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4370854816343428E+000                  2.4370854816343428E+000                 -1.0500462374595902E+001                  4.2297257140805948E+000                  0.0000000000000000E+000                  1.7208036628451606E-006                  0.0000000000000000E+000                  4.6802246398658013E-006                  1.7208036628451613E-006                  0.0000000000000000E+000                 -4.6935785004597710E+000                 -1.5259847517534372E+001                 -7.7866905749145175E+001 
                 5.3680000000000001E-005                  9.0000000000000000E+001                  2.1300666236987462E+000                 -4.6935783973710654E+000                 -7.7866904891924293E+001                  4.2297222108482382E+000                  1.3567643319916062E+006                  6.1325044178851922E+000                  2.1319986154549575E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4370855437332373E+000                  2.4370855437332373E+000                 -1.0500462313687581E+001                  4.2297257285768453E+000                  0.0000000000000000E+000                  1.7208036628451606E-006                  0.0000000000000000E+000                  4.6802246398658013E-006                  1.7208036628451611E-006                  0.0000000000000000E+000                 -4.6935783973828551E+000                 -1.5259847190617920E+001                 -7.7866904891924293E+001 
                 7.4416000000000000E-005                  9.0000000000000000E+001                  2.1300665846306561E+000                 -4.6935782736797904E+000                 -7.7866903863253484E+001                  4.2297222283441034E+000                  1.3567643065219824E+006                  6.1325044097324746E+000                  2.1319986935911381E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4370856185064964E+000                  2.4370856185064964E+000                 -1.0500462240932299E+001                  4.2297257460733526E+000                  0.0000000000000000E+000                  1.7208036628451606E-006                  0.0000000000000000E+000                  4.6802246398658013E-006                  1.7208036628451613E-006                  0.0000000000000000E+000                 -4.6935782736915801E+000                 -1.5259846798321034E+001                 -7.7866903863253484E+001 
                 9.9299199999999986E-005                  9.0000000000000000E+001                  2.1300665377883456E+000                 -4.6935781252486484E+000                 -7.7866902628815538E+001                  4.2297222494749507E+000                  1.3567642779016986E+006                  6.1325044005712437E+000                  2.1319987872757582E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4370857085779836E+000                  2.4370857085779836E+000                 -1.0500462154070512E+001                  4.2297257672049673E+000                  0.0000000000000000E+000                  1.7208036628451606E-006                  0.0000000000000000E+000                  4.6802246398658005E-006                  1.7208036628451611E-006                  0.0000000000000000E+000                 -4.6935781252604389E+000                 -1.5259846327559167E+001                 -7.7866902628815538E+001 
                 1.2915903999999998E-004                  9.0000000000000000E+001                  2.1300664816273800E+000                 -4.6935779471321855E+000                 -7.7866901147470088E+001                  4.2297222750119197E+000                  1.3567642461172852E+006                  6.1325043903971874E+000                  2.1319988995976895E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4370858171206242E+000                  2.4370858171206242E+000                 -1.0500462050418399E+001                  4.2297257927428404E+000                  0.0000000000000000E+000                  1.7208036628451606E-006                  0.0000000000000000E+000                  4.6802246398658005E-006                  1.7208036628451611E-006                  0.0000000000000000E+000                 -4.6935779471439751E+000                 -1.5259845762647098E+001                 -7.7866901147470088E+001 
                 1.6499084799999998E-004                  9.0000000000000000E+001                  2.1300664142941974E+000                 -4.6935777333917539E+000                 -7.7866899369812089E+001                  4.2297223058912223E+000                  1.3567642112866046E+006                  6.1325043792480338E+000                  2.1319990342640547E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4370859479718026E+000                  2.4370859479718026E+000                 -1.0500461926780828E+001                  4.2297258236232222E+000                  0.0000000000000000E+000                  1.7208036628451606E-006                  0.0000000000000000E+000                  4.6802246398658013E-006                  1.7208036628451611E-006                  0.0000000000000000E+000                 -4.6935777334035436E+000                 -1.5259845084749484E+001                 -7.7866899369812089E+001 
                 2.0798901759999997E-004                  9.0000000000000000E+001                  2.1300663335629579E+000                 -4.6935774769040899E+000                 -7.7866897236577529E+001                  4.2297223432470616E+000                  1.3567641736756011E+006                  6.1325043672089112E+000                  2.1319991957265341E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4370861057668272E+000                  2.4370861057668272E+000                 -1.0500461779344997E+001                  4.2297258609803645E+000                  0.0000000000000000E+000                  1.7208036628451606E-006                  0.0000000000000000E+000                  4.6802246398658005E-006                  1.7208036628451611E-006                  0.0000000000000000E+000                 -4.6935774769158805E+000                 -1.5259844271273694E+001                 -7.7866897236577529E+001 
