                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      9.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                                star_age                                star_mass                                    log_R                                   log_LH                                  log_LHe                                 log_Teff                               luminosity                                    log_L                                    log_g                             he_core_mass                              c_core_mass                              o_core_mass                          v_wind_Km_per_s                           shock_velocity                          log_surf_cell_P                   log_surf_cell_pressure                    log_surf_cell_density                log_surf_cell_temperature                          surf_avg_logRho                              surface_c12                              surface_c13                              surface_o16                               center_c12                               center_c13                                       pp                                      cno                                 tri_alfa 
                 1.0000000000000001E-005                  9.0000000000000000E+001                  2.8674634763521305E+000                 -6.7307292768952705E+000                 -9.8999999999999986E+001                  3.8326588330191074E+000                  1.0448275411512057E+006                  6.0190446118754375E+000                  6.5720491014818905E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5015001667967247E+000                  1.5015001667967247E+000                 -1.0243229734812671E+001                  3.8326588445152252E+000                  0.0000000000000000E+000                  3.4416073257059875E-003                  0.0000000000000000E+000                  9.3604492797742158E-003                  3.4416073257059880E-003                  0.0000000000000000E+000                 -6.7307292768963585E+000                 -1.8332013273943563E+001                 -9.8999999999999986E+001 
                 2.2000000000000003E-005                  9.0000000000000000E+001                  2.8674626552797768E+000                 -6.7307291879040658E+000                 -9.8999999999999986E+001                  3.8326527681059401E+000                  1.0447652283533739E+006                  6.0190187100780603E+000                  6.5720655229289637E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5015770520316942E+000                  1.5015770520316942E+000                 -1.0243118853277794E+001                  3.8326527795998646E+000                  0.0000000000000000E+000                  3.4416073257059875E-003                  0.0000000000000000E+000                  9.3604492797742141E-003                  3.4416073257059880E-003                  0.0000000000000000E+000                 -6.7307291879051538E+000                 -1.8332012984177844E+001                 -9.8999999999999986E+001 
                 3.6400000000000004E-005                  9.0000000000000000E+001                  2.8674635724336150E+000                 -6.7307290817886356E+000                 -9.8999999999999986E+001                  3.8326585785376426E+000                  1.0448255545291690E+006                  6.0190437861125483E+000                  6.5720471798521984E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5015031592730252E+000                  1.5015031592730252E+000                 -1.0243225371600994E+001                  3.8326585900346424E+000                  0.0000000000000000E+000                  3.4416073257059875E-003                  0.0000000000000000E+000                  9.3604492797742158E-003                  3.4416073257059880E-003                  0.0000000000000000E+000                 -6.7307290817897236E+000                 -1.8332012638646816E+001                 -9.8999999999999986E+001 
                 5.3680000000000001E-005                  9.0000000000000000E+001                  2.8674628390135748E+000                 -6.7307289537945190E+000                 -9.8999999999999986E+001                  3.8326528172925833E+000                  1.0447665856621910E+006                  6.0190192742922308E+000                  6.5720618482530002E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5015761116105542E+000                  1.5015761116105542E+000                 -1.0243120145176116E+001                  3.8326528287865105E+000                  0.0000000000000000E+000                  3.4416073257059875E-003                  0.0000000000000000E+000                  9.3604492797742141E-003                  3.4416073257059880E-003                  0.0000000000000000E+000                 -6.7307289537956070E+000                 -1.8332012221881477E+001                 -9.8999999999999986E+001 
                 7.4416000000000000E-005                  9.0000000000000000E+001                  2.8674637665318645E+000                 -6.7307288008543953E+000                 -9.8999999999999986E+001                  3.8326585917694729E+000                  1.0448266157852808E+006                  6.0190442272363684E+000                  6.5720432978872112E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5015026473992437E+000                  1.5015026473992437E+000                 -1.0243226039991477E+001                  3.8326586032663332E+000                  0.0000000000000000E+000                  3.4416073257059875E-003                  0.0000000000000000E+000                  9.3604492797742158E-003                  3.4416073257059880E-003                  0.0000000000000000E+000                 -6.7307288008554833E+000                 -1.8332011723882175E+001                 -9.8999999999999986E+001 
                 9.9299199999999986E-005                  9.0000000000000000E+001                  2.8674630963961323E+000                 -6.7307286166750142E+000                 -9.8999999999999986E+001                  3.8326528614957254E+000                  1.0447682493670244E+006                  6.0190199658699122E+000                  6.5720567006018538E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5015751013633543E+000                  1.5015751013633543E+000                 -1.0243121510784325E+001                  3.8326528729896592E+000                  0.0000000000000000E+000                  3.4416073257059875E-003                  0.0000000000000000E+000                  9.3604492797742141E-003                  3.4416073257059880E-003                  0.0000000000000000E+000                 -6.7307286166761013E+000                 -1.8332011124169057E+001                 -9.8999999999999986E+001 
                 1.2915903999999998E-004                  9.0000000000000000E+001                  2.8674640253289883E+000                 -6.7307283963025553E+000                 -9.8999999999999986E+001                  3.8326584852651191E+000                  1.0448268361010470E+006                  6.0190443188131999E+000                  6.5720381219447332E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5015035086356636E+000                  1.5015035086356636E+000                 -1.0243224698674142E+001                  3.8326584967617925E+000                  0.0000000000000000E+000                  3.4416073257059875E-003                  0.0000000000000000E+000                  9.3604492797742158E-003                  3.4416073257059880E-003                  0.0000000000000000E+000                 -6.7307283963036433E+000                 -1.8332010406599892E+001                 -9.8999999999999986E+001 
                 1.6499084799999998E-004                  9.0000000000000000E+001                  2.8674634588917209E+000                 -6.7307281312219889E+000                 -9.8999999999999986E+001                  3.8326528976861041E+000                  1.0447703417051635E+006                  6.0190208356226051E+000                  6.5720494506900784E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5015740026530042E+000                  1.5015740026530042E+000                 -1.0243122965405083E+001                  3.8326529091800348E+000                  0.0000000000000000E+000                  3.4416073257059875E-003                  0.0000000000000000E+000                  9.3604492797742141E-003                  3.4416073257059880E-003                  0.0000000000000000E+000                 -6.7307281312230769E+000                 -1.8332009543460185E+001                 -9.8999999999999986E+001 
                 2.0798901759999997E-004                  9.0000000000000000E+001                  2.8674643891142964E+000                 -6.7307278137453581E+000                 -9.8999999999999986E+001                  3.8326582788549874E+000                  1.0448266001642209E+006                  6.0190442207432904E+000                  6.5720308462385701E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5015054242987240E+000                  1.5015054242987240E+000                 -1.0243221793607358E+001                  3.8326582903514512E+000                  0.0000000000000000E+000                  3.4416073257059875E-003                  0.0000000000000000E+000                  9.3604492797742158E-003                  3.4416073257059880E-003                  0.0000000000000000E+000                 -6.7307278137464461E+000                 -1.8332008509705187E+001                 -9.8999999999999986E+001 
