                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                                star_age                                star_mass                                    log_R                                   log_LH                                  log_LHe                                 log_Teff                               luminosity                                    log_L                                    log_g                             he_core_mass                              c_core_mass                              o_core_mass                          v_wind_Km_per_s                           shock_velocity                          log_surf_cell_P                   log_surf_cell_pressure                    log_surf_cell_density                log_surf_cell_temperature                          surf_avg_logRho                              surface_c12                              surface_c13                              surface_o16                               center_c12                               center_c13                                       pp                                      cno                                 tri_alfa 
                 3.3973994428908992E-002                  1.0000127763294966E+000                 -2.0092078291314155E+000                  3.4801371447200529E+000                 -1.3237277073687039E+001                  5.7195150275980868E+000                  6.5031950387484949E+003                  3.8131267792242638E+000                  8.4563105603299089E+000                  1.0000089265106207E+000                  9.9999994688601146E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1206923903114067E+001                  1.1206923903114067E+001                 -3.3122471378920433E+000                  6.2779205100696034E+000                  0.0000000000000000E+000                  2.1000664362115485E-003                  3.1973477418010419E-005                  5.5725922040180450E-003                  3.5699140326546575E-001                  3.8444050068028770E-005                 -3.4263819319521907E+000                  3.4801370908601879E+000                 -1.3237277073687039E+001 
                 7.4742787743599784E-002                  1.0000127865216950E+000                 -2.0144370629351624E+000                  3.3403196013400946E+000                 -1.3571152838644387E+001                  5.7042058157127329E+000                  5.5135518626512085E+003                  3.7414314640753532E+000                  8.4667690323637625E+000                  1.0000089318358529E+000                  9.9999994688601146E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1187186316746123E+001                  1.1187186316746123E+001                 -3.3081160455592005E+000                  6.2633386462861695E+000                  0.0000000000000000E+000                  2.2946727830693617E-003                  2.7854428942318755E-005                  6.1566668944504745E-003                  3.5699140326546569E-001                  3.8444050068028763E-005                 -3.4380710920026063E+000                  3.3403195289975711E+000                 -1.3571152838644387E+001 
                 1.2366533972122873E-001                  1.0000127987523328E+000                 -2.0202043301280797E+000                  3.1683894669781214E+000                 -1.3949341150848653E+001                  5.6855352725686572E+000                  4.5207944082490485E+003                  3.6552147571132170E+000                  8.4783035720612272E+000                  1.0000089318358527E+000                  9.9999994688601146E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1164905590022364E+001                  1.1164905590022364E+001                 -3.3021703403574687E+000                  6.2455338741543658E+000                  0.0000000000000000E+000                  2.2946727831340279E-003                  2.7854428864979331E-005                  6.1566668944504728E-003                  3.5699140326546563E-001                  3.8444050068028757E-005                 -3.4542328881465405E+000                  3.1683893634252831E+000                 -1.3949341150848653E+001 
                 1.6280338130333188E-001                  1.0000128085368434E+000                 -2.0242411778891287E+000                  3.0329757688260903E+000                 -1.4232670643767239E+001                  5.6707428046800707E+000                  3.8723195611155074E+003                  3.5879711900367730E+000                  8.4863772718326302E+000                  1.0000089318358527E+000                  9.9999994688601157E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1126128978837240E+001                  1.1126128978837240E+001                 -3.3102873683901657E+000                  6.2238272635482934E+000                  0.0000000000000000E+000                  2.2946727832150460E-003                  2.7854428770474056E-005                  6.1566668944504684E-003                  3.5699140326546563E-001                  3.8444050068028757E-005                 -3.4693694619442446E+000                  3.0329756322297232E+000                 -1.4232670643767239E+001 
                 1.9577043989380105E-001                  1.0000128167786080E+000                 -2.0272378661742909E+000                  2.9229941488823754E+000                 -1.4458220785669985E+001                  5.6586656275830967E+000                  3.4171898292319793E+003                  3.5336691050785509E+000                  8.4923706519822613E+000                  1.0000089318358529E+000                  9.9999994688601157E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1111064095230809E+001                  1.1111064095230809E+001                 -3.3082726181829716E+000                  6.2120819593894900E+000                  0.0000000000000000E+000                  2.2946727832562253E-003                  2.7854428722730685E-005                  6.1566668944504667E-003                  3.5699140326546563E-001                  3.8444050068028757E-005                 -3.4824003614314059E+000                  2.9229939781209051E+000                 -1.4458220785669985E+001 
                 2.2444396677679018E-001                  1.0000128239469896E+000                 -2.0295627328959935E+000                  2.8314112903140267E+000                 -1.4645218630806124E+001                  5.6485730006065360E+000                  3.0806961350807715E+003                  3.4886488637289053E+000                  8.4970203885388162E+000                  1.0000089318358529E+000                  9.9999994688601146E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1098358166764831E+001                  1.1098358166764831E+001                 -3.3070838717664688E+000                  6.2022828816877249E+000                  0.0000000000000000E+000                  2.2946727832778573E-003                  2.7854428697777833E-005                  6.1566668944504641E-003                  3.5699140326546563E-001                  3.8444050068028757E-005                 -3.4934136790464434E+000                  2.8314110847441643E+000                 -1.4645218630806124E+001 
                 2.4918975751546224E-001                  1.0000128301334374E+000                 -2.0313795269990154E+000                  2.7557378906067540E+000                 -1.4800278376369519E+001                  5.6402112853604223E+000                  2.8285796629449346E+003                  3.4515684145384049E+000                  8.5006539794315650E+000                  1.0000089372145624E+000                  9.9999994688601157E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1087697452065246E+001                  1.1087697452065246E+001                 -3.3064838817884663E+000                  6.1941787648592141E+000                  0.0000000000000000E+000                  2.2946727832909453E-003                  2.7854428682755344E-005                  6.1566668944504693E-003                  3.5699140326546563E-001                  3.8444050068028757E-005                 -3.5024853258169673E+000                  2.7557376509657039E+000                 -1.4800278376369519E+001 
                 2.7058956416388930E-001                  1.0000128354833890E+000                 -2.0328227510606292E+000                  2.6929111844594931E+000                 -1.4929988524636242E+001                  5.6332464680175649E+000                  2.6352553096475749E+003                  3.4208226970437492E+000                  8.5035404298782176E+000                  1.0000089372145624E+000                  9.9999994688601146E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1078713576857330E+001                  1.1078713576857330E+001                 -3.3062535918431033E+000                  6.1874395517404244E+000                  0.0000000000000000E+000                  2.2946727832989923E-003                  2.7854428673549617E-005                  6.1566668944504658E-003                  3.5699140326546563E-001                  3.8444050068028757E-005                 -3.5099069598068056E+000                  2.6929109122104871E+000                 -1.4929988524636242E+001 
                 2.8908635835667806E-001                  1.0000128401075876E+000                 -2.0339829700985304E+000                  2.6405714064051242E+000                 -1.5039033043493713E+001                  5.6274384612188593E+000                  2.4846786701107317E+003                  3.3952702317731229E+000                  8.5058608699622571E+000                  1.0000089372145624E+000                  9.9999994688601146E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1071147403026096E+001                  1.1071147403026096E+001                 -3.3062445023956957E+000                  6.1818277629979450E+000                  0.0000000000000000E+000                  2.2946727833041600E-003                  2.7854428667654705E-005                  6.1566668944504676E-003                  3.5699140326546563E-001                  3.8444050068028757E-005                 -3.5159678638588416E+000                  2.6405711035428405E+000                 -1.5039033043493713E+001 
