                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      4.5000000000000001E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                                star_age                                star_mass                                    log_R                                   log_LH                                  log_LHe                                 log_Teff                               luminosity                                    log_L                                    log_g                             he_core_mass                              c_core_mass                              o_core_mass                          v_wind_Km_per_s                           shock_velocity                          log_surf_cell_P                   log_surf_cell_pressure                    log_surf_cell_density                log_surf_cell_temperature                          surf_avg_logRho                              surface_c12                              surface_c13                              surface_o16                               center_c12                               center_c13                                       pp                                      cno                                 tri_alfa 
                 1.0000000000000000E+005                  4.5049999999999996E-001                 -3.9795892677483896E-001                 -1.5168113601180153E+000                 -5.7686899839712048E+001                  3.5823556707795632E+000                  3.0689312299277450E-002                 -1.5130128433366781E+000                  4.8875020022778850E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6719661735989453E+000                  5.6719661735989453E+000                 -5.6439711456136825E+000                  3.5827152029398066E+000                  0.0000000000000000E+000                  3.4385823274092724E-003                  0.0000000000000000E+000                  9.3518212508792702E-003                  3.4405674345185547E-003                  0.0000000000000000E+000                 -1.5169779892897302E+000                 -4.9329279478199863E+000                 -5.7686899839712048E+001 
                 2.2000000000000000E+005                  4.5109999999999995E-001                 -3.9823091911968722E-001                 -1.5109192933309936E+000                 -5.7648272309750965E+001                  3.5823397362293523E+000                  3.0646397744209661E-002                 -1.5136205662272193E+000                  4.8886240187502104E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6721524507219661E+000                  5.6721524507219661E+000                 -5.6433783097036745E+000                  3.5825199771131344E+000                  0.0000000000000000E+000                  3.4328676076758823E-003                  0.0000000000000000E+000                  9.3355442055025814E-003                  3.4405641379841442E-003                  0.0000000000000000E+000                 -1.5110893496633757E+000                 -4.9181958216435486E+000                 -5.7648272309750965E+001 
                 2.5958682111999993E+006                  4.6297934105600008E-001                 -4.0101434081693582E-001                 -1.3931735275500750E+000                 -5.6886581964937115E+001                  3.5833043852875290E+000                  3.0526090442423933E-002                 -1.5153288133890082E+000                  4.9054796475216396E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6908137543484072E+000                  5.6908137543484072E+000                 -5.6266448725737170E+000                  3.5834907101851861E+000                  0.0000000000000000E+000                  3.3438134142861307E-003                  0.0000000000000000E+000                  9.0818941203864439E-003                  3.4404667137970272E-003                  0.0000000000000000E+000                 -1.3934262164181823E+000                 -4.6284980671186400E+000                 -5.6886581964937115E+001 
                 1.3641508366072878E+007                  5.1820754183036444E-001                 -3.8808225617413633E-001                 -1.0163970600263188E+000                 -5.4460788710768014E+001                  3.5884084865599664E+000                  3.3958755100055762E-002                 -1.4690482390136599E+000                  4.9285575950431531E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7032068951366242E+000                  5.7032068951366242E+000                 -5.6304072784791819E+000                  3.5886140605151424E+000                  0.0000000000000000E+000                  3.0466855957064945E-003                  0.0000000000000000E+000                  8.2355948771473952E-003                  3.4399894093953666E-003                  0.0000000000000000E+000                 -1.0172809756264700E+000                 -3.7082124553744817E+000                 -5.4460788710768014E+001 
                 2.8403993952950235E+007                  5.9201996976475135E-001                 -3.4117562473479446E-001                 -8.7431053941437942E-001                 -5.3463708054534223E+001                  3.5943730499849962E+000                  4.4526983798075043E-002                 -1.3513767224348554E+000                  4.8925769592886779E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6429531218606543E+000                  5.6429531218606543E+000                 -5.7145854111924583E+000                  3.5945840642935063E+000                  0.0000000000000000E+000                  2.7779907913163698E-003                  0.0000000000000000E+000                  7.4702804387185495E-003                  3.4362588368286365E-003                  0.0000000000000000E+000                 -8.7583188520274724E-001                 -3.3306273650080613E+000                 -5.3463708054534223E+001 
                 4.4947139954137385E+007                  6.7473569977068704E-001                 -2.6096761621660236E-001                 -8.4065068103757568E-001                 -5.2928739397409664E+001                  3.6058763363855300E+000                  7.1622988834068868E-002                 -1.1449475597963370E+000                  4.7889582748118347E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4559908379080291E+000                  5.4559908379080291E+000                 -5.9411445876009079E+000                  3.6060920508059575E+000                  0.0000000000000000E+000                  2.5730142780480531E-003                  0.0000000000000000E+000                  6.8864526810539046E-003                  3.4265990523483316E-003                  0.0000000000000000E+000                 -8.4289793836161031E-001                 -3.1279053319713666E+000                 -5.2928739397409664E+001 
                 6.3183322122284621E+007                  7.6591661061142335E-001                 -1.5767250821418949E-001                 -6.9731512798004203E-001                 -5.1820155126132782E+001                  3.6554450622037087E+000                  1.8193554642948412E-001                 -7.4008244051879779E-001                  4.6374158581128473E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0951472523546251E+000                  5.0951472523546251E+000                 -6.3805408198448141E+000                  3.6556918416462993E+000                  0.0000000000000000E+000                  2.4082682132862670E-003                  0.0000000000000000E+000                  6.4172119663967204E-003                  3.3973068900124519E-003                  0.0000000000000000E+000                 -7.0158486327851133E-001                 -2.7068316060193145E+000                 -5.1820155126132782E+001 
                 8.5009686176519647E+007                  8.7504843088259832E-001                 -1.0431498164923272E-001                 -4.5201866882306369E-001                 -5.0151670162873231E+001                  3.7000326896099724E+000                  3.5073824312715324E-001                 -4.5501687776382882E-001                  4.5885514070858999E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9997805641613331E+000                  4.9997805641613331E+000                 -6.5243571390657413E+000                  3.7002779016235716E+000                  0.0000000000000000E+000                  2.3377215253799675E-003                  0.0000000000000000E+000                  6.2162761911008745E-003                  3.1598887940018630E-003                  0.0000000000000000E+000                 -4.6258601066302601E-001                 -2.0711101809629109E+000                 -5.0151670162873231E+001 
                 1.0946169967518377E+008                  9.9730849837591884E-001                 -4.7089057231711709E-002                 -2.1220367710246868E-001                 -4.8158096435601905E+001                  3.7354466729327438E+000                  6.3254423853638497E-001                 -1.9890909563770134E-001                  4.5308969876909657E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9271489402510547E+000                  4.9271489402510547E+000                 -6.6332030926944041E+000                  3.7356688752728511E+000                  0.0000000000000000E+000                  2.3237584183200934E-003                  0.0000000000000000E+000                  6.1765055395524831E-003                  1.9343707456625535E-003                  0.0000000000000000E+000                 -2.3989679867357830E-001                 -1.4213890614147358E+000                 -4.8158096435601905E+001 
