                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.8000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27 
                                star_age                                star_mass                                    log_R                                   log_LH                                  log_LHe                                 log_Teff                               luminosity                                    log_L                                    log_g                             he_core_mass                              c_core_mass                              o_core_mass                          v_wind_Km_per_s                           shock_velocity                          log_surf_cell_P                   log_surf_cell_pressure                    log_surf_cell_density                log_surf_cell_temperature                          surf_avg_logRho                              surface_c12                              surface_c13                              surface_o16                               center_c12                               center_c13                                       pp                                      cno                                 tri_alfa 
                 1.0000000000000001E-005                  1.8000000000000000E+000                  1.7134846710975431E+000                 -2.1130499894152440E+001                 -9.8999999999999986E+001                  3.6477866664135368E+000                  9.3669528671810576E+002                  2.9715983349439816E+000                  1.2661925163213452E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1153674537428162E+000                  3.1153674537428162E+000                 -8.3389581767725325E+000                  3.6477866748709764E+000                  0.0000000000000000E+000                  3.4003315958871429E-003                  4.1275729818844763E-005                  9.3356844324987802E-003                  3.4003315958871434E-003                  4.1275729818844756E-005                 -2.1130499894152440E+001                 -8.1379347296533538E+001                 -9.8999999999999986E+001 
                 2.5958682111999992E-004                  1.8000000000000000E+000                  1.7131785285841059E+000                 -2.1130500643299730E+001                 -9.8999999999999986E+001                  3.6414022130285337E+000                  8.8195867508808840E+002                  2.9454482363770951E+000                  1.2668048013482194E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1170174396660748E+000                  3.1170174396660748E+000                 -8.3308945460239432E+000                  3.6414022214775126E+000                  0.0000000000000000E+000                  3.4003315958871429E-003                  4.1275729818844763E-005                  9.3356844324987802E-003                  3.4003315958871434E-003                  4.1275729818844756E-005                 -2.1130500643299730E+001                 -8.1379397509774634E+001                 -9.8999999999999986E+001 
                 1.8668799962237360E-003                  1.8000000000000000E+000                  1.7119485361294646E+000                 -2.1130502023237110E+001                 -9.8999999999999986E+001                  3.6205782423970359E+000                  7.2392298996327668E+002                  2.8596923689418183E+000                  1.2692647862575019E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1337975620441085E+000                  3.1337975620441085E+000                 -8.2931765712448833E+000                  3.6205782506177924E+000                  0.0000000000000000E+000                  3.4003315958871429E-003                  4.1275729818844763E-005                  9.3356844324987802E-003                  3.4003315958871434E-003                  4.1275729818844756E-005                 -2.1130502023237110E+001                 -8.1379557358502552E+001                 -9.8999999999999986E+001 
                 1.1818815689988476E-002                  1.8000000000000000E+000                  1.7096139163072965E+000                 -2.1130493807480388E+001                 -9.8999999999999986E+001                  3.5966771199425001E+000                  5.7467015032926338E+002                  2.7594186394793390E+000                  1.2739340259018381E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.1894841177219635E+000                  3.1894841177219635E+000                 -8.2133698814046294E+000                  3.5966771273305325E+000                  0.0000000000000000E+000                  3.4003315958871429E-003                  4.1275729818844763E-005                  9.3356844324987802E-003                  3.4003315958871434E-003                  4.1275729818844756E-005                 -2.1130493807480388E+001                 -8.1379704643505889E+001                 -9.8999999999999986E+001 
                 7.3438578398454205E-002                  1.8000000000000000E+000                  1.7075304008533310E+000                 -2.1130353345534406E+001                 -9.8999999999999986E+001                  3.5870370246585868E+000                  5.2082428633837856E+002                  2.7166912274357564E+000                  1.2781010568097690E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2315565770563950E+000                  3.2315565770563950E+000                 -8.1615001818702932E+000                  3.5870370314941908E+000                  0.0000000000000000E+000                  3.4003315958871429E-003                  4.1275729818844763E-005                  9.3356844324987802E-003                  3.4003315958871434E-003                  4.1275729818844756E-005                 -2.1130353345534406E+001                 -8.1379190353497918E+001                 -9.8999999999999986E+001 
                 4.5497190750010674E-001                  1.8000000000000000E+000                  1.7065909755264999E+000                 -2.1128789625073651E+001                 -9.8999999999999986E+001                  3.5858206747131822E+000                  5.1279877258344743E+002                  2.7099469770004765E+000                  1.2799799074634313E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2383216323963167E+000                  3.2383216323963167E+000                 -8.1534932212689899E+000                  3.5858206815015832E+000                  0.0000000000000000E+000                  3.4003315958871429E-003                  4.1275729818844756E-005                  9.3356844324987785E-003                  3.4003315958871429E-003                  4.1275729818844756E-005                 -2.1128789625073651E+001                 -8.1372595894601702E+001                 -9.8999999999999986E+001 
                 2.8173257176583335E+000                  1.8000000000000000E+000                  1.7058656279271984E+000                 -2.1117541935533257E+001                 -9.8999999999999986E+001                  3.5858604011551729E+000                  5.1127574188220967E+002                  2.7086551875698364E+000                  1.2814306026620343E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2390382718211903E+000                  3.2390382718211903E+000                 -8.1528159969031773E+000                  3.5858604079778078E+000                  0.0000000000000000E+000                  3.4003315958871434E-003                  4.1275729818844756E-005                  9.3356844324987802E-003                  3.4003315958871434E-003                  4.1275729818844756E-005                 -2.1117541935533257E+001                 -8.1326025351719878E+001                 -9.8999999999999986E+001 
                 1.7444397846610439E+001                  1.8000000000000000E+000                  1.7021389987583047E+000                 -2.1049782312898309E+001                 -9.8999999999999986E+001                  3.5863157137776973E+000                  5.0468823371244412E+002                  2.7030231797221438E+000                  1.2888838609998219E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2415563764896804E+000                  3.2415563764896804E+000                 -8.1507566937804636E+000                  3.5863157207977525E+000                  0.0000000000000000E+000                  3.4003315958871434E-003                  4.1275729818844756E-005                  9.3356844324987802E-003                  3.4003315958871434E-003                  4.1275729818844756E-005                 -2.1049782312898309E+001                 -8.1051637176053845E+001                 -9.8999999999999986E+001 
                 9.5145068667229680E+001                  1.8000000000000000E+000                  1.6836775279407423E+000                 -2.0715839585243614E+001                 -9.8999999999999986E+001                  3.5885589666331854E+000                  4.7323106891019432E+002                  2.6750732495089746E+000                  1.3258068026349465E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2542062740442383E+000                  3.2542062740442383E+000                 -8.1403663649265479E+000                  3.5885589747154860E+000                  0.0000000000000000E+000                  3.4003315958871434E-003                  4.1275729818844756E-005                  9.3356844324987802E-003                  3.4003315958871434E-003                  4.1275729818844756E-005                 -2.0715839585243614E+001                 -7.9706049389350099E+001                 -9.8999999999999986E+001 
