                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       5                  7.5352954072735157E-001                  2.2447153116377461E+000                  3.4854722658271018E+000                 -8.5801873314442840E+000                  2.6961699445598644E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                       6                  7.5352954068369249E-001                  2.2447153110131794E+000                  3.4854722700774037E+000                 -8.5801873021429458E+000                  2.6961699785547237E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                       7                  7.5352954061759625E-001                  2.2447153100676385E+000                  3.4854722751965883E+000                 -8.5801872668515813E+000                  2.6961700194990992E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                       8                  7.5352954055150001E-001                  2.2447153091220979E+000                  3.4854722829270246E+000                 -8.5801872135583981E+000                  2.6961700813288476E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                       9                  7.5352954041797371E-001                  2.2447153072119304E+000                  3.4854722961985072E+000                 -8.5801871220655759E+000                  2.6961701874770982E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      10                  7.5352954020879126E-001                  2.2447153042194663E+000                  3.4854723171295605E+000                 -8.5801869777681592E+000                  2.6961703548882507E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      11                  7.5352953987747229E-001                  2.2447152994797754E+000                  3.4854723504466731E+000                 -8.5801867480820970E+000                  2.6961706213657219E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      12                  7.5352953934844524E-001                  2.2447152919117719E+000                  3.4854724039921301E+000                 -8.5801863789433472E+000                  2.6961710496336253E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      13                  7.5352953849477033E-001                  2.2447152796995256E+000                  3.4854724909399390E+000                 -8.5801857795316838E+000                  2.6961717450599707E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      14                  7.5352953710319570E-001                  2.2447152597923705E+000                  3.4854726332122752E+000                 -8.5801847987185731E+000                  2.6961728829814824E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      15                  7.5352953482087626E-001                  2.2447152271427546E+000                  3.4854728667473314E+000                 -8.5801831887527520E+000                  2.6961747508351870E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      16                  7.5352953107262277E-001                  2.2447151735224629E+000                  3.4854732501917409E+000                 -8.5801805453400632E+000                  2.6961778176773765E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      17                  7.5352952491918468E-001                  2.2447150854955225E+000                  3.4854738809519303E+000                 -8.5801761969997496E+000                  2.6961828625523467E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      18                  7.5352951478446084E-001                  2.2447149405163218E+000                  3.4854749261286218E+000                 -8.5801689918420205E+000                  2.6961912218747006E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      19                  7.5352949792943402E-001                  2.2447146994055593E+000                  3.4854766775591162E+000                 -8.5801569182209434E+000                  2.6962052295572105E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      20                  7.5352946955678002E-001                  2.2447142935457847E+000                  3.4854796372979640E+000                 -8.5801365157567684E+000                  2.6962289003792010E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      21                  7.5352942149859969E-001                  2.2447136061219148E+000                  3.4854846382017470E+000                 -8.5801020449288679E+000                  2.6962688935421348E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      22                  7.5352934041400210E-001                  2.2447124463730663E+000                  3.4854930102546859E+000                 -8.5800443428425783E+000                  2.6963358405437514E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      23                  7.5352920529427303E-001                  2.2447105139986170E+000                  3.4855067997568856E+000                 -8.5799493182855802E+000                  2.6964460920927338E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      24                  7.5352898429192494E-001                  2.2447073540354312E+000                  3.4855289881485598E+000                 -8.5797964575662142E+000                  2.6966234537387517E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      25                  7.5352863222753153E-001                  2.2447023217337709E+000                  3.4855635259828275E+000                 -8.5795586198436151E+000                  2.6968994276969438E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      26                  7.5352809217795080E-001                  2.2446946063154209E+000                  3.4856150257407448E+000                 -8.5792042052838315E+000                  2.6973107048543969E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      27                  7.5352730177338001E-001                  2.2446833226714782E+000                  3.4856884543554956E+000                 -8.5786993506444134E+000                  2.6978966287214008E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      28                  7.5352619477115890E-001                  2.2446675362325759E+000                  3.4857895311895817E+000                 -8.5780053089274020E+000                  2.6987022537549556E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      29                  7.5352468909765125E-001                  2.2446460960594514E+000                  3.4859272341407896E+000                 -8.5770614697209151E+000                  2.6997980886478139E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      30                  7.5352263384004081E-001                  2.2446168884592046E+000                  3.4861196172483564E+000                 -8.5757461310659995E+000                  2.7013257375219717E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      31                  7.5351971128901263E-001                  2.2445754711088561E+000                  3.4863921333137902E+000                 -8.5738894755741644E+000                  2.7034830518041257E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      32                  7.5351557705658967E-001                  2.2445171120734217E+000                  3.4868160424374790E+000                 -8.5710168692052680E+000                  2.7068231406643184E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      33                  7.5350872199823560E-001                  2.2444209323399096E+000                  3.4877092541356514E+000                 -8.5650271461361029E+000                  2.7137970298191845E+000                  6.7865041387347880E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      34                  7.5349237820422565E-001                  2.2441945099150113E+000                  3.4886788491323095E+000                 -8.5586150446346707E+000                  2.7212759473177024E+000                  6.7865041387347869E-001                  3.0127511122485512E-001                  2.0074474901666139E-002 
                                      35                  7.5348347783166092E-001                  2.2440728675736814E+000                  3.4894514179463267E+000                 -8.5535785184079440E+000                  2.7271613442034233E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      36                  7.5347222719858875E-001                  2.2439207330857611E+000                  3.4904288554062011E+000                 -8.5472973916719077E+000                  2.7345148480877364E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      37                  7.5345794878733330E-001                  2.2437302030445174E+000                  3.4916696022533649E+000                 -8.5394716508975748E+000                  2.7436991506673096E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      38                  7.5343978544416823E-001                  2.2434918081270698E+000                  3.4930867576226272E+000                 -8.5307371133523393E+000                  2.7539815836220596E+000                  6.7865041387347869E-001                  3.0127511122485517E-001                  2.0074474901666139E-002 
                                      39                  7.5342088529452933E-001                  2.2432482768220221E+000                  3.4942477500875220E+000                 -8.5237463698963882E+000                  2.7622374975676016E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      40                  7.5340945226337752E-001                  2.2431031180569110E+000                  3.4950555793428215E+000                 -8.5189684251398141E+000                  2.7678943123384356E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
                                      41                  7.5339979398211221E-001                  2.2429817222687025E+000                  3.4962174088469720E+000                 -8.5122183652155385E+000                  2.7759064458152052E+000                  6.7865041387347869E-001                  3.0127511122485523E-001                  2.0074474901666139E-002 
