                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  9.8201936686919200E-001                  1.3444332525157827E+000                  3.6144839037384062E+000                 -7.9882348286580962E+000                  3.4214756538524860E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                       2                  9.8201936686870095E-001                  1.3444332516132000E+000                  3.6144839409707128E+000                 -7.9882345681919116E+000                  3.4214759516698621E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                       3                  9.8201936686821012E-001                  1.3444332507106158E+000                  3.6144840061272761E+000                 -7.9882341123766052E+000                  3.4214764728497840E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                       4                  9.8201936686698255E-001                  1.3444332484541590E+000                  3.6144841457486425E+000                 -7.9882331356317673E+000                  3.4214775896618175E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                       5                  9.8201936686452751E-001                  1.3444332439412545E+000                  3.6144843551811876E+000                 -7.9882316705203316E+000                  3.4214792648745491E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                       6                  9.8201936686145852E-001                  1.3444332383001441E+000                  3.6144845878847027E+000                 -7.9882300426269168E+000                  3.4214811262145499E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                       7                  9.8201936685838975E-001                  1.3444332326590536E+000                  3.6144849660289555E+000                 -7.9882273973180418E+000                  3.4214841508751923E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                       8                  9.8201936685148494E-001                  1.3444332199666789E+000                  3.6144858386750682E+000                 -7.9882212928443339E+000                  3.4214911307817091E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                       9                  9.8201936683537383E-001                  1.3444331903515467E+000                  3.6144869149557222E+000                 -7.9882137641629800E+000                  3.4214997391809363E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      10                  9.8201936682309854E-001                  1.3444331677880246E+000                  3.6144884857606345E+000                 -7.9882027766787500E+000                  3.4215123024869958E+000                  6.7865041387349356E-001                  3.0127511122483974E-001                  2.0074474901666695E-002 
                                      11                  9.8201936679394486E-001                  1.3444331142009982E+000                  3.6144923256081372E+000                 -7.9881759200032150E+000                  3.4215430112759315E+000                  6.7865041387349356E-001                  3.0127511122483974E-001                  2.0074474901666695E-002 
                                      12                  9.8201936672182777E-001                  1.3444329816517302E+000                  3.6145001512823614E+000                 -7.9881211965393604E+000                  3.4216055854212959E+000                  6.7865041387349356E-001                  3.0127511122483985E-001                  2.0074474901666584E-002 
                                      13                  9.8201936658756728E-001                  1.3444327349152463E+000                  3.6145144080206322E+000                 -7.9880215391279030E+000                  3.4217195451602720E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      14                  9.8201936634589848E-001                  1.3444322908904174E+000                  3.6145357980680939E+000                 -7.9878721133947810E+000                  3.4218904294183967E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      15                  9.8201936602367335E-001                  1.3444316990588563E+000                  3.6145638901816604E+000                 -7.9876760381565788E+000                  3.4221146868406964E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      16                  9.8201936560554792E-001                  1.3444309314299920E+000                  3.6145965075503206E+000                 -7.9874486255281392E+000                  3.4223748216126535E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      17                  9.8201936516440647E-001                  1.3444301219658930E+000                  3.6146525907147655E+000                 -7.9870581430246581E+000                  3.4228215678500509E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      18                  9.8201936412868296E-001                  1.3444282231751941E+000                  3.6147488281870745E+000                 -7.9863898951551668E+000                  3.4235863643572437E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      19                  9.8201936263263778E-001                  1.3444254846505936E+000                  3.6148817065845362E+000                 -7.9854708907695509E+000                  3.4246386792101045E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      20                  9.8201936063791095E-001                  1.3444218409225746E+000                  3.6151303848739986E+000                 -7.9837612597563465E+000                  3.4265978027465915E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      21                  9.8201935611141533E-001                  1.3444136046102875E+000                  3.6155821931236627E+000                 -7.9806921624386415E+000                  3.4301202017667416E+000                  6.7865041387349345E-001                  3.0127511122483980E-001                  2.0074474901666806E-002 
                                      22                  9.8201934883974829E-001                  1.3444004654483490E+000                  3.6163294959527597E+000                 -7.9757147884701602E+000                  3.4358473548962376E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      23                  9.8201933672538888E-001                  1.3443788228735956E+000                  3.6175152978411855E+000                 -7.9680626583069945E+000                  3.4446891171972767E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      24                  9.8201931841050960E-001                  1.3443466684223533E+000                  3.6185477441418405E+000                 -7.9616656441622231E+000                  3.4521217209925923E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      25                  9.8201931066987713E-001                  1.3443332752088899E+000                  3.6192882392808738E+000                 -7.9571847594180296E+000                  3.4573451691145660E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      26                  9.8201929983299174E-001                  1.3443147151277082E+000                  3.6200978419826080E+000                 -7.9524067611845695E+000                  3.4629348457590319E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      27                  9.8201929054423298E-001                  1.3442989786863226E+000                  3.6210646775239219E+000                 -7.9468394067610246E+000                  3.4694712316593845E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      28                  9.8201927597125882E-001                  1.3442746011479600E+000                  3.6223514453046035E+000                 -7.9396754514343559E+000                  3.4779245163353805E+000                  6.7865041387349356E-001                  3.0127511122483974E-001                  2.0074474901666695E-002 
                                      29                  9.8201925915433663E-001                  1.3442469252135132E+000                  3.6235787671091897E+000                 -7.9330932166834236E+000                  3.4857363565718407E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      30                  9.8201924642254357E-001                  1.3442262839824499E+000                  3.6245048411868277E+000                 -7.9282711120444009E+000                  3.4914862640747022E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      31                  9.8201923706708183E-001                  1.3442112822089873E+000                  3.6255424823970115E+000                 -7.9229963784232273E+000                  3.4978006529358008E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      32                  9.8201922183104429E-001                  1.3441871424242626E+000                  3.6269320720299931E+000                 -7.9161625007597607E+000                  3.5060270716559208E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      33                  9.8201920449533786E-001                  1.3441600999890901E+000                  3.6284324210271461E+000                 -7.9090568094712816E+000                  3.5146366958737971E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      34                  9.8201918708343949E-001                  1.3441333745195863E+000                  3.6297687127578846E+000                 -7.9029548860199155E+000                  3.5220784649627372E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      35                  9.8201917390855009E-001                  1.3441134313457583E+000                  3.6307378412276825E+000                 -7.8986517416336604E+000                  3.5273535068451358E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      36                  9.8201916508663534E-001                  1.3441002075308823E+000                  3.6318210680205265E+000                 -7.8939445818486780E+000                  3.5331471349750374E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      37                  9.8201914944236324E-001                  1.3440770070633161E+000                  3.6334456225015326E+000                 -7.8871056242526629E+000                  3.5416157006896021E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      38                  9.8201912873972519E-001                  1.3440467791442565E+000                  3.6351275592204866E+000                 -7.8802967310292091E+000                  3.5501118758719770E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      39                  9.8201911226807981E-001                  1.3440230986088757E+000                  3.6366576159500061E+000                 -7.8743063606897366E+000                  3.5576371794877817E+000                  6.7865041387349356E-001                  3.0127511122483974E-001                  2.0074474901666695E-002 
                                      40                  9.8201909520786046E-001                  1.3439989038897122E+000                  3.6379739370932738E+000                 -7.8693093944701662E+000                  3.5639546641694264E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      41                  9.8201908367236901E-001                  1.3439827292109934E+000                  3.6394441905413411E+000                 -7.8638655898836003E+000                  3.5708734072874875E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      42                  9.8201906341437895E-001                  1.3439546736821988E+000                  3.6410696467389112E+000                 -7.8580412706222216E+000                  3.5783284157386253E+000                  6.7865041387349345E-001                  3.0127511122483980E-001                  2.0074474901666806E-002 
                                      43                  9.8201904885191560E-001                  1.3439347713225882E+000                  3.6423037250710606E+000                 -7.8537327296284341E+000                  3.5838750306349425E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
                                      44                  9.8201903712180372E-001                  1.3439188962032400E+000                  3.6439736360162152E+000                 -7.8480365977667645E+000                  3.5912464692229782E+000                  6.7865041387349356E-001                  3.0127511122483980E-001                  2.0074474901666584E-002 
